2.28,8.41,2.29
2.17,8.55,1.84
1.83,7.91,1.21
2.13,8.88,2.14
1.98,8.52,2.68
2.58,7.57,1.78
1.59,8.33,2.21
2.40,7.96,2.24
2.02,7.68,1.77
1.75,8.19,2.16
2.13,8.18,1.84
1.59,7.88,2.24
1.30,7.83,1.95
2.47,7.84,2.01
2.10,8.63,1.96
1.83,8.18,2.17
1.74,7.73,2.20
5.78,7.81,4.07
6.31,8.64,4.05
6.41,8.07,4.38
6.18,7.89,3.36
6.18,8.37,3.94
5.96,8.07,3.92
6.29,7.97,4.20
5.68,7.93,3.82
6.01,8.07,3.75
5.84,8.36,3.85
6.36,7.77,4.18
5.69,8.11,3.64
5.78,7.77,4.34
5.90,7.81,4.59
5.61,8.43,3.64
6.26,7.55,3.69
6.10,7.80,4.03
3.56,4.85,3.26
3.00,4.52,2.84
3.06,4.96,2.93
2.91,5.18,2.75
3.35,4.23,2.59
2.31,5.05,2.64
3.36,5.30,3.08
3.22,5.18,3.09
2.96,5.23,2.85
3.10,4.77,2.41
2.65,5.24,3.16
3.04,5.34,2.94
3.37,5.33,2.88
2.60,4.74,2.75
3.15,4.50,3.21
2.77,5.35,3.41
7.23,4.30,2.03
6.89,4.23,1.34
7.17,4.72,1.87
7.01,4.43,0.72
7.50,3.99,1.29
7.47,3.37,1.40
6.96,4.46,1.12
6.63,4.08,1.76
7.30,4.19,1.99
7.06,4.43,1.66
6.36,4.50,1.37
6.59,4.39,1.61
7.02,3.70,1.44
6.75,3.66,1.69
7.01,3.96,1.07
7.28,4.08,2.10
6.97,3.69,1.69
2.40,1.96,4.81
2.83,1.48,4.66
2.57,2.50,4.75
3.17,1.70,5.35
3.47,1.79,4.91
3.53,1.97,5.06
2.96,1.85,5.18
2.58,2.33,5.20
3.03,1.89,4.86
3.29,1.45,5.56
3.48,2.27,5.27
3.03,1.89,4.30
3.23,2.49,5.61
3.40,2.66,4.85
3.02,2.46,5.26
3.02,1.99,5.66
3.16,1.39,4.98
1.96,8.11,2.01
1.87,8.48,1.63
2.21,7.43,2.42
1.82,7.72,1.70
1.98,7.68,2.11
1.54,7.68,2.12
1.67,7.29,1.98
2.24,7.88,2.13
2.13,8.19,2.31
1.37,7.46,1.91
1.89,8.02,2.20
2.07,7.13,2.11
1.96,8.61,2.13
2.03,7.72,2.21
1.89,7.64,1.63
1.94,8.01,1.73
1.72,7.97,1.89
5.25,7.43,3.92
5.98,8.31,3.33
5.56,8.10,3.54
6.20,8.26,4.68
6.72,7.53,3.31
5.81,8.05,4.82
5.85,8.07,3.93
5.69,7.79,4.41
6.69,8.41,3.74
6.09,7.79,3.75
5.43,7.63,4.01
5.87,8.41,3.90
6.34,8.03,3.63
6.56,7.56,4.08
5.96,8.00,3.43
6.09,8.10,4.91
6.24,8.15,3.84
3.44,5.16,3.28
3.13,4.94,3.16
2.52,5.28,2.88
2.60,4.88,3.02
2.80,6.05,2.45
2.83,5.19,3.67
3.54,4.74,3.15
3.12,5.17,3.05
2.48,4.32,3.03
3.02,4.92,2.76
3.31,5.22,2.94
3.44,5.37,3.21
2.68,5.26,3.24
3.30,4.89,3.42
2.81,5.01,3.44
2.72,5.60,2.86
6.86,4.03,1.76
7.13,4.00,1.74
7.23,3.62,1.38
7.45,3.95,1.92
7.32,4.13,1.76
6.98,4.40,0.75
7.18,4.39,1.46
7.09,4.24,1.44
6.67,4.73,1.62
7.01,3.42,1.43
7.73,3.78,1.38
7.02,3.88,1.26
6.77,4.55,1.58
7.23,3.76,1.45
6.97,4.13,1.57
